decisionId,timestamp,attribution,requestText,routerDecision,humanJudgement,humanNotes,routerAgreesWithHuman,routerCorrection,routerDistanceFromHuman,routerDisagreementKind,routerSummary,routerAffectedPaths
2026-05-03T18-52-59-264Z_019def2f-c800-70fa-b1c7-d4256108310b.jsonl:8bdb284a,2026-05-03T18:53:04.672Z,legacy_no_active_agent_marker,hi,INQUIRY,INQUIRY,Seeded: representative greeting collapsed from duplicate legacy greeting rows.,TRUE,,0,exact,,
2026-05-03T21-33-14-894Z_019defc2-810d-7249-8234-dc35cf0e8aca.jsonl:b9ed53c4,2026-05-03T21:33:35.050Z,legacy_no_active_agent_marker,take me to the operator,QUICK_FIX,QUICK_FIX,Seeded: direct handoff/operation request.,TRUE,,0,exact,,
2026-05-03T21-34-10-508Z_019defc3-5a4b-725e-b76a-7b9a19add446.jsonl:2229a495,2026-05-03T21:34:24.251Z,legacy_no_active_agent_marker,commit the changes,QUICK_FIX,QUICK_FIX,Seeded: commit request is a command-style operation.,TRUE,,0,exact,,
2026-05-03T21-36-46-021Z_019defc5-b9c5-708c-9b83-c41ed760befb.jsonl:b6508bb1,2026-05-03T21:36:51.658Z,legacy_no_active_agent_marker,commit the changes,QUICK_FIX,QUICK_FIX,Seeded: commit request is a command-style operation.,TRUE,,0,exact,,
2026-05-04T13-47-49-516Z_019df33e-c18c-74e8-b03e-73bab60fcb51.jsonl:993ada42,2026-05-04T13:49:02.991Z,legacy_no_active_agent_marker,"the @src/tools/user-interview.js tool should allow the user to write their own response in 2 ways, provide an ""other"" field for multiple choice questions (including yes/no special case) and also provide a question type that expects an open ended response.",FEATURE,FEATURE,,TRUE,,0,exact,,
2026-05-05T20-04-48-055Z_019df9be-3f36-70b4-b94b-8b27c408dc93.jsonl:19540c35,2026-05-05T20:06:06.321Z,legacy_no_active_agent_marker,update the ## Project Structure section of the @README.md,QUICK_FIX,QUICK_FIX,,TRUE,,0,exact,,
2026-05-06T00-03-23-415Z_019dfa98-ae97-776c-a5eb-f58e317b2829.jsonl:02162942,2026-05-06T00:04:18.617Z,legacy_no_active_agent_marker,find all instances where we are using the nodejs process APIs and migrate them to use Deno.command or equivalent Deno APIs.,QUICK_FIX,QUICK_FIX,,TRUE,,0,exact,,
2026-05-06T00-46-15-105Z_019dfabf-ec41-747b-b875-15de2fb0a47d.jsonl:a4bd6b7e,2026-05-06T00:47:20.444Z,legacy_no_active_agent_marker,"Standardize on Deno.Command over Node APIs: In src/shared/chat-session.js, the code imports exec and spawnSync from the Node polyfill child_process to handle ! and !! bash commands.",QUICK_FIX,QUICK_FIX,,TRUE,,0,exact,,
2026-05-06T02-37-41-082Z_019dfb25-f15a-7399-921a-289cc4cfdb9d.jsonl:24113a29,2026-05-06T03:02:58.256Z,legacy_no_active_agent_marker,"In src/shared/workflow/workflow.js, the extractTasks function uses a strict regex (/\|\s*(\d+)\s*\|\s*(\w[\w-]*)\s*\|.../) to parse the ### Tasks table. While you recently added the structured tasks array to the plan_written tool schema (which is the ideal approach), falling back to this regex is risky. LLMs frequently hallucinate minor Markdown table formatting (e.g., dropping a pipe, adding extra whitespace). Consider using a relaxed Markdown parser for this fallback, or strictly enforcing the plan_written tool validation to ensure the JSON array is always present.",FEATURE,FEATURE,,TRUE,,0,exact,,
2026-05-06T15-34-05-039Z_019dfdec-c1ef-713a-8eaf-232574ffa512.jsonl:f2139401,2026-05-06T15:35:58.128Z,legacy_no_active_agent_marker,run deno run ci and fix,QUICK_FIX,QUICK_FIX,,TRUE,,0,exact,,
2026-05-06T16-09-14-748Z_019dfe0c-f2fc-772a-8778-ce19c0d70a00.jsonl:2e1008c4,2026-05-06T16:30:44.671Z,legacy_no_active_agent_marker,continue,FEATURE,FEATURE,,TRUE,,0,exact,,
2026-05-07T02-24-53-349Z_019e0040-9665-7519-ae07-6c784d91d5f6.jsonl:0c953752,2026-05-07T02:48:17.536Z,legacy_no_active_agent_marker,"implement the Pi /share command that lets you share a session, check how pi does it and do the same. Lets talk about how to handle the github access. remember pi code is in @../pi-mono/",FEATURE,FEATURE,,TRUE,,0,exact,,
2026-05-07T03-20-26-457Z_019e0073-7258-752c-9b96-c4823cf8677c.jsonl:11062472,2026-05-07T03:20:41.697Z,legacy_no_active_agent_marker,"Adopt SettingsManager Replace harns' manual settings.json reading with the upstream SettingsManager, using a custom SettingsStorage that reads ~/.hns/ first with ~/.pi/agent/ fallback. Proposed Changes [NEW] settings.js New module providing a singleton SettingsManager: Implement HarnsSettingsStorage class (implements SettingsStorage interface): Global scope read: try ~/.hns/settings.json, fall back to ~/.pi/agent/settings.json Global scope write: always to ~/.hns/settings.json Project scope: <cwd>/.hns/settings.json (no fallback) Export getSettingsManager() (lazy singleton) and initSettings() for startup Use proper-lockfile for safe concurrent writes (already a transitive dep via pi-coding-agent) [MODIFY] model-registry.js Remove getDefaultModelAndProvider() entirely getModelRegistry() stays as-is (uses AuthStorage + ModelRegistry.create()) [MODIFY] chat-session.js Import getSettingsManager from ./settings.js Replace getDefaultModelAndProvider() calls with settingsManager.getDefaultModel() / settingsManager.getDefaultProvider() Call initSettings() in startInteractiveSession() Files touched src/shared/settings.js — new src/shared/models/model-registry.js — remove getDefaultModelAndProvider() src/shared/chat-session.js — update import and usage Tests: update mocks",FEATURE,FEATURE,,TRUE,,0,exact,,
2026-05-07T14-38-33-759Z_019e02e0-491f-75e5-be3f-7936b516c987.jsonl:adbef51a,2026-05-07T16:34:46.055Z,legacy_no_active_agent_marker,the model selection is not persisted to the SettingsManager at least not to cat ~/.hns/settings.json {},QUICK_FIX,QUICK_FIX,,TRUE,,0,exact,,
2026-05-07T16-36-10-668Z_019e034b-f72c-7419-8e13-25398c0eb651.jsonl:1cd23034,2026-05-07T16:37:20.011Z,legacy_no_active_agent_marker,after a planner plan execution flow please stay with the engineer active. For feature plans stay with the architect.,QUICK_FIX,QUICK_FIX,,TRUE,,0,exact,,
2026-05-08T16-33-40-793Z_019e0870-09b9-75bd-88b3-7263e861d693.jsonl:155c7acb,2026-05-08T16:38:57.729Z,legacy_no_active_agent_marker,"when I hit Esc ""Harns Cleared."" appear on the screen for each key press even though there's nothing to stop or nothing happening. Only show a message if something was running that needed to be stopped, think about this before making changes, this is a regression, the last time I asked for this to be fixed then Esc stopped working. evaluate all the paths and only write code one you really understand the flows.",QUICK_FIX,QUICK_FIX,,TRUE,,0,exact,,
2026-05-08T21-10-56-575Z_019e096d-e13f-7088-8c02-82e2805b2d47.jsonl:316ca2eb,2026-05-08T21:18:32.407Z,legacy_no_active_agent_marker,"I would like to implement an init command that will be executable from hns init and also /init inside the TUI. the command should kick off a special agent, this agent is not available by any other means the /agent or switch_agent switchers cant see it. Also it should not be invoked again, create a global ~/.hns/ folder with some indication that we have run the init already if the user executes hns init again warn against re-runing it. /init should disappear from the / selector also once init is done. Additionally I'd like to offer the user to run it automatically upon opening hns for the first time on a new folder. If the user says no, record this in the global ~/.hns/ folder, store a hash of the cwd and 2 values, init offered so we dont offer again, and init done so we know is done already to hide /init and warn with hns init. The special agent is in @prompts/init.md and @prompts/CONTEXTmd-format.md now, they should be moved into src/ somewhere, I was thinking they can live in src/cmd/init/* along side the index.js that implements the command but feel free to challenge this.",PROJECT,PROJECT,,TRUE,,0,exact,,
2026-05-09T02-05-10-208Z_019e0a7b-40c0-7793-8739-66482a3e208b.jsonl:3caa9cc9,2026-05-09T02:05:28.167Z,legacy_no_active_agent_marker,theres al ready a type for agent definitions is called AgentInfo in @src/shared/session/agents.js please use this in place of the 2 AgentDef ones. Then rename it to AgentDefinition so its clearer,QUICK_FIX,QUICK_FIX,,TRUE,,0,exact,,
2026-05-09T19-58-19-214Z_019e0e51-c04d-73e0-a1c5-168f15e13a04.jsonl:7275f861,2026-05-09T20:01:13.790Z,legacy_no_active_agent_marker,"I'd like to implement a new keyboard shortcut and feature. pi-ai allows you to set the model's thinking level, if the model supports it, shift+tab should cycle through the thinking level and save it to the settings.json like pi does. Display the thinking level according to the colors in the theme file, in the footer after the model: provider/model_id (thinking level) Update the help text that appears on boot remove not-implemented `shift+tab to cycle thinking (not-implemented)`",FEATURE,FEATURE,,TRUE,,0,exact,,
